Label,wavelet.LLH_glcm_Idn,wavelet.LHL_firstorder_Median,original_shape_Elongation,wavelet.LHL_glcm_MaximumProbability,wavelet.LLL_glcm_Correlation,log.sigma.1.mm.3D_firstorder_90Percentile,wavelet.HLH_glcm_MCC,wavelet.HHL_firstorder_Median,wavelet.HHL_ngtdm_Contrast,original_firstorder_10Percentile
1,-1.671084449,3.836652068,-0.778685619,-1.427344822,-0.001835947,0.95295683,-0.407026898,2.40606155,0.471588409,1.546039212
1,0.728553952,-0.334609501,1.006213283,-0.287245046,0.573040344,-0.762196404,-0.830861226,0.226644319,0.089521435,0.934157986
0,0.467447332,1.438981616,0.039998218,-1.020557626,-0.473205557,0.375078767,1.243632882,-1.375149942,0.482030089,-1.33972495
0,-1.060668954,-0.07708407,0.818708624,2.052345237,-1.626613036,-0.783272379,1.735981956,1.22275119,2.484899178,0.234996404
0,-0.18250386,-0.29113704,-0.352463414,1.535257624,-1.793102915,-0.003304769,1.243712776,0.217442253,2.49546049,-0.113206275
1,1.769660654,-0.43180785,1.066426626,-0.435066254,1.338628952,-0.589213476,0.246087018,0.081575204,-0.658637286,0.713660247
1,0.976861491,0.079648034,-0.636657137,-0.073665908,1.268548538,-0.812081581,-1.098618051,0.186925302,-0.273243345,0.300226986
1,1.135126759,0.409920785,-0.686854777,0.088981699,1.241743267,-0.558822635,-0.869735659,0.168537938,-0.683707794,-0.398015855
0,0.284038241,-0.117227758,-1.159613178,-0.493640517,0.359327459,-0.181122952,-0.475346293,-0.332288591,-0.552457032,0.48121888
0,0.961508686,0.540562979,0.699270111,0.280099812,0.235173372,-0.436311085,-1.281285031,0.282889659,-0.979353936,-0.710387653
0,-3.553984251,-0.113127407,0.404445134,2.009429337,2.177872392,-1.689523198,-1.234306946,0.185283482,2.791268136,-0.664450624
1,0.427496771,0.033548345,-0.141372418,-0.932256002,1.443624933,-0.323481424,-0.751582286,0.174177952,-0.90508412,-0.299710613
1,1.428052908,-0.069774036,-0.662512788,0.631140409,1.414029533,-0.980019062,-0.885444974,0.201320264,-0.835252659,0.254289957
0,-2.196386152,0.807423144,-0.211915094,-0.025268869,0.963981631,0.809720071,-1.101717685,0.046969325,-0.827099849,-0.352078826
0,-0.775530744,1.234188385,-0.693315116,-1.773908281,-0.375172646,1.072297743,1.250057973,-0.031507115,1.295451952,-0.416390667
1,0.078240049,0.04939989,0.254873788,-0.635801049,-0.502449106,-0.022133962,-0.231741306,-1.38942839,-0.085921776,-0.452221549
1,1.537330072,0.071322079,-0.669443331,-0.702947373,0.948151283,-0.619050589,-0.820123399,0.525958694,-0.687870391,-0.186705522
0,0.279278273,0.20392469,1.627089705,-0.951152828,-0.027567661,0.360100842,0.400465766,0.890047559,0.186385497,-0.793074305
1,0.337374102,-1.765080448,-1.736337393,-0.845598734,0.644931858,-1.045044312,-0.463661391,-0.534292985,-0.89204062,2.653121611
0,-0.289008999,0.020238693,-1.589648921,0.849707317,-1.104713849,0.782444601,1.390446703,0.034488956,0.067094923,-1.126577135
0,0.180822081,-0.480183979,0.812136689,-0.974946531,0.30332876,-0.387370946,-0.640619564,0.393867485,-0.466652379,0.438038073
0,0.009709723,0.120608151,0.888654293,0.311963714,0.300361687,-1.084385353,-0.864459282,-0.286205296,-0.397441898,0.11647887
0,0.625191647,1.288205788,-0.879250943,-1.234858771,0.458086239,0.60744892,-0.738903011,0.304298962,-0.571356392,0.373726232
1,1.324034061,-0.393361076,0.227539149,-0.736285505,0.945775258,-0.478760964,-0.927079045,0.290823635,-0.718189726,1.908023001
0,-1.287639758,0.236550228,1.479163833,1.123162125,-1.503681847,1.692772064,-0.736899428,1.373592698,-0.676374176,-1.142195725
0,-0.463055625,-0.070926556,-1.058216534,0.10475481,-0.317495658,2.661680746,0.879208648,-0.774540224,-0.421888784,0.017254887
0,0.419344338,-0.731804092,-0.679068208,-0.302661515,-1.274425171,0.546562371,1.780775522,-0.086339102,0.117792502,0.205596706
0,-1.239417129,-0.015596102,0.018195613,1.085102953,-1.565542797,-0.858488971,-0.594859878,-0.271189217,2.641987041,0.917620655
0,-0.439075224,-0.035641944,-0.767025719,0.959378628,-0.183254527,1.189264928,1.848978845,0.31239417,0.197696415,-0.600138783
1,0.220676819,0.159118873,0.644401254,0.203007115,1.411816197,-1.154620972,-1.402298628,-0.401505876,-0.209644901,0.052167029
0,0.810617264,0.237022068,0.316894812,0.110302335,1.125897285,-0.410473418,-0.85951126,-0.149119469,-0.351530328,1.113312399
0,-0.209874654,0.82452653,0.417472942,1.589901453,-0.204926598,0.558850419,1.857852809,0.182554846,-0.438169093,0.134853681
0,-2.4458333,0.628877844,1.228836472,-0.748809229,0.978739839,-0.451057455,-0.766499334,1.134765365,-0.559229563,-0.146280936
0,0.75150787,-0.40352973,-0.382982886,-1.512260852,1.048423424,1.553350954,-0.535676449,0.035785969,-0.613625614,-0.251017362
0,-1.322138477,1.514579571,1.204284332,-0.070753628,0.528018915,1.201080925,-1.22273906,0.185257287,-0.737297628,-0.545014348
0,0.860897486,0.625391968,-1.271426901,-1.463436176,0.372544451,0.674966727,-0.70795375,0.215600004,0.236782947,0.153228493
0,-1.050577453,0.997809159,1.007343404,-1.333915701,-0.278123535,-0.071823798,0.284483291,-1.20732881,-0.521669835,-0.605651226
1,-0.137846834,0.047982396,-1.660140955,-1.28051674,0.359122031,-0.413353679,-0.341306125,-0.03702327,-0.261650926,0.29103958
1,1.274610414,-0.041700019,0.431756637,0.520136845,0.404809802,-0.664931183,-0.884934321,-0.065166432,-0.469338006,0.272664768
0,0.418873513,-0.238140037,1.297314185,-0.871311892,0.07291076,2.059531777,-0.276531677,-1.679181116,-0.095300351,-0.042463251
0,0.508067547,0.231827644,-0.292025894,0.133385958,0.967509746,0.652911524,2.347135767,0.257410749,-0.316700865,-0.297873132
0,2.100817562,0.128719297,-0.231319034,-0.393404391,1.638857848,-0.230567633,-0.570028707,0.186111661,-0.987004032,-1.169757943
1,1.031754862,-2.08750836,1.133160821,0.178251471,0.99816459,-1.363958006,-1.488962958,0.790696683,-0.419420816,1.167518093
0,-1.078673475,0.148713653,-0.109820595,0.135035383,0.00216572,-0.103936703,-1.181290495,-0.246555545,0.014925328,0.410475855
0,-1.56799978,0.576366618,0.262275651,1.448779349,-1.253144307,-1.228398536,-0.88876129,-0.485874594,2.583866751,-0.407203261
