batch,Label,log.sigma.2.mm.3D_glcm_ClusterShade,log.sigma.1.mm.3D_glcm_Imc1,log.sigma.1.mm.3D_glcm_MCC,wavelet.LLH_glszm_GrayLevelVariance,log.sigma.3.mm.3D_firstorder_Skewness,wavelet.HLL_glszm_ZonePercentage,wavelet.HLL_firstorder_Skewness,wavelet.LHL_glcm_Correlation,wavelet.LLH_glrlm_GrayLevelNonUniformityNormalized,log.sigma.2.mm.3D_glcm_Imc1
1,1,0.086549479,0.50586814,-0.454312378,0.515414296,-1.757569988,-1.115706648,-0.83335857,0.026104024,0.385613792,-0.784691443
1,1,0.092749135,-0.399451872,-0.157275267,-0.426214273,0.205932451,-0.892296266,0.339544756,-0.647610515,-0.043162558,-0.578079925
1,1,0.04000213,-0.169554792,0.473249055,0.218000009,-1.394700996,-0.262392511,0.182878074,-0.460844095,-0.089679651,-0.486022165
1,1,0.060545126,-0.63792974,0.770718848,0.143763609,-0.08482129,-1.169649651,0.178095854,-0.663432783,-0.043081856,-0.88526883
2,0,0.317826721,0.727069027,-0.524484029,0.18573395,-1.204233725,0.192746475,1.938701143,-0.41553781,-0.484357332,-0.706093997
2,0,0.324994234,0.865568465,-0.987296396,-0.398675772,-1.670242364,0.175108745,1.792301587,-0.635165387,0.327273715,-0.314512426
2,0,0.329530968,0.916969426,-0.738497844,-0.107063455,-0.686541883,0.351656903,0.732664961,-0.456006381,0.514081864,0.218619943
2,0,0.330625451,0.335083395,-0.737128893,-1.047839787,0.827859741,0.081765667,-1.109047462,-0.852921656,1.080963219,0.557061145
1,0,0.090271752,1.219894979,-1.182424728,-0.38196574,-0.255636082,0.668908195,-0.658122652,-0.017894608,0.489817415,0.004736037
1,0,0.091533305,0.756834281,-0.654843282,0.417650589,0.543725474,0.754027664,1.367717678,-0.313264802,-0.232452908,0.818359466
1,0,0.092541141,0.856807838,-0.70069783,-0.132756877,1.208661205,1.271518365,1.065959281,-0.768155449,0.464082717,-1.485142238
