batch,Label,log.sigma.1.mm.3D_glcm_MCC,log.sigma.1.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,log.sigma.3.mm.3D_glszm_SizeZoneNonUniformityNormalized,wavelet.LHH_glszm_SmallAreaEmphasis,wavelet.HHH_glcm_MaximumProbability,log.sigma.2.mm.3D_glcm_Imc1,wavelet.HHL_glcm_MaximumProbability,wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis,wavelet.LLH_firstorder_Kurtosis,wavelet.LHH_glrlm_RunEntropy
1,0,-0.272008518,0.653897649,-0.246296733,0.849549991,-1.847188487,-0.03993016,0.373127544,-0.356739346,-0.974187945,-0.480499886
1,0,-0.544907612,-0.90358018,-0.327283935,0.802291374,0.864848941,0.469691874,-0.015199404,-0.303328139,-0.233950961,-0.101391411
2,0,-0.572261655,0.706356146,-0.944668099,-1.826171648,-0.201678235,-0.045313178,-1.247758234,0.772033569,-1.09582985,-0.390666994
2,0,-0.408357896,2.897367482,0.253870212,-0.554270423,1.276041718,1.805875934,1.401636606,0.245039452,-0.377533044,-1.831318306
1,0,1.316963095,-0.847287502,-0.784068905,0.085681554,0.387560814,-0.295950076,-1.387966989,-0.4380759,-0.646994641,-0.402385045
1,1,0.09136422,-0.243296966,-1.078426699,0.713431515,0.509263178,-0.426423577,-0.435763103,-0.400398698,0.762563355,0.231460565
2,0,0.383410779,-0.693221573,-0.206552674,-0.517736267,-0.991838753,-0.0160798,-0.530236269,-0.396724538,0.054123421,-0.232390055
2,0,-0.319637269,-0.769600743,0.253870212,-2.947646626,2.219001891,2.609891576,1.461463162,-0.051460637,3.726198265,-3.210825873
2,0,-0.49639968,-0.670483402,0.81788824,-1.042066705,3.082735191,1.820106284,2.024418487,0.463887103,-0.473443732,-3.192758475
2,0,-1.022252179,1.816602836,-1.032795916,-0.258116803,1.035159658,1.577383576,-0.070528306,0.235203042,-0.63599496,-1.944791742
2,0,-1.064513222,-0.137849618,-0.61533311,-0.446103162,-0.367484709,-0.00598629,-0.347213381,-0.194320905,-1.381251777,-0.149832562
1,0,-0.28978721,-0.999148499,-0.713530599,0.236178534,-0.917645187,-0.352348933,-0.028048221,-0.238400389,-0.476162025,-0.403644478
1,0,-0.489914117,-0.579797576,-0.313044431,-0.431000613,0.134017858,-0.688098945,0.300347451,-0.867624955,-0.489291986,1.585804678
1,0,-0.471098582,-0.438716661,-0.485362464,-0.078867418,-0.4276874,-0.257998923,-1.298302514,0.720883877,-0.858740996,0.127155722
2,0,-1.172804566,0.468175559,-0.422951423,-3.089545991,3.287897609,1.163458199,2.509637665,1.210695173,-0.257734631,0.024589571
1,0,-1.141682058,0.05198361,-0.310572295,1.053189566,0.537042073,-0.212659593,0.185481945,-0.110787375,-1.034908512,0.578341501
1,0,-1.299785062,-0.074775563,-0.680976911,0.605926198,-0.031190875,-0.278651091,-0.073342902,0.017224056,-0.048067314,0.209382768
1,0,-1.177342085,-0.260667286,3.626457562,0.200304253,0.793938529,0.409445074,0.218389973,-0.666052256,1.310366107,-0.602251982
1,0,-0.573775365,2.593671642,0.525009969,0.208985361,0.60633833,2.154126653,1.01066735,-0.583430763,-1.968306323,-0.734406971
2,0,-0.595774603,-0.635639511,0.069701055,-0.040069471,2.129056961,1.625285182,1.730874438,0.035863359,-0.950080324,-1.39810282
2,0,-0.977681511,0.372052402,-0.874165846,0.089181367,0.373333791,1.034810055,0.008702421,-0.838544832,-0.560291333,0.907937204
2,0,-1.058940853,0.157790604,-0.333509511,0.650592291,0.338837839,0.474030411,0.230443954,-0.633792235,0.164674559,0.226255515
2,0,-0.51983783,2.218861961,0.81788824,1.527999201,-0.270111572,1.635405176,0.922841439,0.254047234,-1.411857976,-0.52367431
1,0,-0.171278651,-0.569467513,-0.628093554,0.3357703,-1.009807281,1.02133431,0.25995347,-0.281691285,1.20376799,-0.787876905
1,0,1.502678063,-0.751969342,0.569138672,0.365584931,0.445941938,0.520319548,-1.13958492,0.437523047,-0.208608683,-0.180946576
1,0,-0.735724996,0.767655223,-0.370256739,-0.027123254,0.118172761,0.747393642,1.181290577,0.781730086,0.328924908,-0.152173972
1,0,-0.50554031,0.099277655,-0.808579323,-0.062664941,2.858227922,-0.462917221,1.674505925,0.330862419,-0.353989657,-0.826339929
1,0,0.208233164,-0.386271341,-0.758029072,0.106516547,-0.033913732,-0.706567263,-0.878293392,0.430262882,0.632056407,0.44593643
1,0,-0.588185589,-0.235551885,-0.63552095,-0.636493069,0.465718688,0.490453204,0.269589276,-0.453975193,-0.44857098,-0.381139382
1,0,-0.540508739,0.881879532,0.995024996,-0.32800138,-0.644337597,0.165832014,0.32754673,0.063139024,-1.453343515,0.190477677
2,0,-1.166605544,0.745002464,-0.470301086,0.196996641,0.986736496,0.351212729,0.47796524,-0.6615891,-0.244677917,-0.44862219
2,0,0.059349892,1.150010854,1.757918285,0.528821765,2.517058866,-0.7466029,2.679368056,-0.058751042,-0.738039247,-0.354263669
2,0,-0.193779377,1.312129722,-0.748828507,-0.338485507,-0.398245748,0.382512283,0.410536501,-0.764850229,-1.500554256,0.027330385
2,1,-0.502255794,-0.191847165,-0.648558634,0.3477845,-1.060481284,-1.698990959,-1.140123992,-0.338462411,-0.049264391,1.465479564
1,0,-0.128570877,-0.858525663,-0.706081229,-0.193372589,0.200799205,0.856242366,0.090298836,-0.476662742,-0.008774185,-0.764583846
2,0,0.199934068,1.624217887,-0.557049326,0.605903101,-0.94671574,-0.113139691,-1.116081387,-0.478048399,-0.276944514,0.307017979
2,0,-0.441202953,-0.460402472,-0.733995679,-0.279733525,0.129489988,0.499681967,-0.35160391,0.772030545,-0.694378284,0.551208262
2,0,-0.642558554,0.28615277,1.757918285,1.160545824,-0.938610339,1.092406533,-1.413955557,-0.208703959,0.122594531,1.050636842
2,0,-0.684958528,-0.752144292,-0.122141804,1.137838731,-0.857404996,1.09505972,-0.075884105,-0.035782099,1.14202439,-1.071721011
2,0,-0.74080621,-0.244996714,-0.648558634,-0.121130439,0.037088481,-1.785442109,0.598573841,-0.08596741,-1.082833422,1.043693424
2,0,-0.785109831,-0.89193731,-0.347749015,-2.740614413,-1.745778296,1.066322983,0.550358738,1.020623498,-0.578533163,-1.420787017
2,0,1.307496977,-0.607695758,-1.127398435,0.191549773,0.737568721,-1.431693476,-0.130763214,0.382202944,-0.529527485,0.917010186
2,0,-0.241522155,0.738988023,-0.467004897,0.173529781,0.692511367,1.185988854,-0.342730204,-0.120748854,-1.062393661,-0.058103785
2,0,-1.130257731,4.221247816,0.069701055,-0.570158334,2.364759924,1.858405173,0.746085435,-0.108295735,0.319758223,-1.249021084
2,0,-0.210771012,0.470346184,0.066001537,-0.11351998,-0.075233548,0.334445604,-0.121905277,0.836382533,0.796142895,-0.718214785
2,0,0.455173398,-0.498329668,-0.158738723,0.000529442,-0.573856786,-0.554937516,-0.502534118,0.330358309,-0.091742506,0.491679615
1,0,-0.930614738,0.818631453,-0.490991984,-0.213526684,-1.190735873,0.614063937,-1.11518258,-0.258763047,-0.139184628,0.740290822
1,0,0.888715139,0.427536452,-0.561899767,-0.346981783,-0.085720566,0.025925214,0.418872597,0.2497656,-0.558948462,0.114420413
1,0,-0.753954869,0.06068817,-0.728363427,-0.847455736,0.96675128,1.295592063,0.73750402,0.418016153,-1.482331214,-0.374815666
2,0,1.768823722,0.340254841,0.621605939,-0.41897268,1.793441575,0.375460303,-0.384298941,0.264711236,-0.850527111,-0.182015886
2,0,-0.900522229,0.660035836,-0.600500294,-0.984419641,1.422120532,-0.474914916,2.608294369,-0.150846576,0.086962068,1.206709213
2,0,0.588893989,-0.679498561,-0.649709693,-0.915653678,-0.479815502,-0.127406982,0.185761497,0.444749142,0.883791355,0.324689642
2,0,-1.017207995,1.771896933,-0.548288761,0.913344129,-0.452850198,1.028907175,-1.02635992,-0.252790815,1.233880852,-0.070139117
2,0,-0.573261465,0.468860123,0.661216565,-0.387073202,1.480168854,0.774311093,1.48020434,-0.088078032,0.830723698,-0.555297571
1,0,-0.838718514,-0.229901587,-0.571691751,1.151578968,-1.116888239,-0.97485292,-1.271460632,-0.306852181,-0.544425233,1.596573708
1,0,-0.436261871,0.259826029,-1.146154559,0.182259414,-2.177053997,-0.404289959,-1.916688064,-0.918077098,-0.561953165,0.111576417
2,1,-0.253130003,0.214370439,-0.835268049,0.998804563,-0.258293242,-0.912167585,-0.803217158,0.879178084,-0.803189604,0.378461245
2,1,0.909391207,-0.506337149,-1.069441566,1.206241796,-0.444569225,-0.554380294,-0.099694903,-0.483892597,-0.601513344,0.286662123
2,1,0.092501916,-0.756586733,-0.419498256,0.514240186,-0.519802041,-0.56623095,-0.668310782,-0.433677602,-0.135261793,-0.241236622
2,1,0.142574908,0.765771462,-0.767369528,-0.010711139,3.17891706,-4.680814606,2.347854828,-0.023064813,2.525259341,-1.612885249
2,1,0.674291747,-0.458967262,-0.187013668,0.638037368,-0.868347093,-3.211600561,-0.904854131,-0.94993339,0.323963941,1.421381288
2,0,-0.730681965,-0.35491376,0.530123941,1.63395153,1.224104858,-0.229225722,1.711703617,-0.011450546,-0.693254299,0.140394778
2,0,-0.357446612,-0.193559158,-0.680284648,-0.386997249,-0.084866275,-0.352161941,-0.627969021,-0.395042137,-0.136852687,-0.129715986
2,0,-0.696719336,0.983065227,-0.232315461,-0.727930074,0.2302467,-0.59131102,-0.569395318,-0.266586728,-0.77081364,-0.35715713
2,0,-0.657048618,0.048451456,-1.096987778,-0.258810838,0.015932343,-0.649238124,0.819464042,-0.019353439,0.885304907,0.504352238
